fertilizer_kg_acre,rainfall_mm,temperature,seed_variety,irrigation_type,disease_status,soil_quality,baseline_yield_kg_ha,yield_kg_acre
60.2,2005.0,25.6,BG 358,Full Irrigation,Mild,Good,4153.7,1754.5
46.8,2176.0,31.9,BG 359,Full Irrigation,Mild,Average,4397.3,1521.9
80.6,1774.0,29.5,Traditional,Partial Irrigation,None,Excellent,4316.1,1812.1
113.9,1900.0,27.8,BG 352,Full Irrigation,Severe,Average,4356.7,1243.1
54.5,1557.0,25.5,Traditional,Rainfed,None,Average,4113.1,911.5
75.7,2087.0,34.0,AT 362,Rainfed,Mild,Excellent,4194.3,1193.2
49.6,1737.0,30.2,AT 362,Partial Irrigation,Mild,Average,4356.7,1260.5
37.0,2049.0,28.4,BG 358,Rainfed,None,Excellent,4397.3,1589.6
39.5,1206.0,27.7,Traditional,Rainfed,None,Poor,4234.9,799.9
25.8,1546.0,33.1,Traditional,Full Irrigation,Mild,Average,4397.3,1077.4
114.9,1849.0,32.2,BG 358,Partial Irrigation,Mild,Average,4397.3,1652.0
60.3,1164.0,32.1,BG 359,Partial Irrigation,None,Average,4234.9,1302.9
103.4,1175.0,30.2,BG 352,Full Irrigation,Mild,Excellent,4437.9,1911.1
88.1,2171.0,32.9,BG 358,Partial Irrigation,None,Average,4194.3,1513.7
39.2,1465.0,27.0,BG 352,Partial Irrigation,None,Excellent,4194.3,1844.2
37.5,1136.0,31.0,BG 359,Partial Irrigation,Moderate,Poor,4356.7,803.4
101.2,1331.0,28.0,BG 359,Partial Irrigation,None,Average,4316.1,2204.8
46.5,1417.0,30.0,BG 359,Full Irrigation,Mild,Average,4153.7,1865.4
111.3,1710.0,34.0,AT 362,Partial Irrigation,Mild,Good,4397.3,1797.5
34.0,2100.0,33.8,Traditional,Partial Irrigation,None,Poor,4153.7,709.3
87.8,2183.0,29.1,BG 352,Partial Irrigation,None,Average,4397.3,1763.4
101.4,1747.0,29.7,BG 358,Rainfed,None,Good,4113.1,2041.6
43.5,1810.0,33.0,BG 358,Rainfed,None,Average,4397.3,1220.3
47.6,1318.0,33.9,Traditional,Rainfed,Mild,Excellent,4397.3,1113.1
116.5,2014.0,31.8,BG 352,Rainfed,None,Average,4397.3,1502.7
46.5,1183.0,24.7,BG 352,Partial Irrigation,Severe,Excellent,4316.1,819.9
63.0,1038.0,27.2,BG 352,Full Irrigation,None,Poor,4275.5,1499.2
63.3,2165.0,33.0,AT 362,Full Irrigation,None,Excellent,4356.7,1819.5
45.3,2023.0,31.7,BG 359,Full Irrigation,Moderate,Average,4194.3,1268.8
97.6,1295.0,31.4,Traditional,Partial Irrigation,None,Poor,4397.3,1162.7
97.2,1778.0,30.7,BG 358,Rainfed,Mild,Good,4316.1,1771.3
57.8,1507.0,28.2,BG 358,Partial Irrigation,Mild,Poor,4275.5,1357.1
103.5,1320.0,28.0,BG 359,Full Irrigation,Moderate,Poor,4275.5,1790.8
41.3,1273.0,32.1,BG 352,Full Irrigation,None,Good,4316.1,1896.1
20.4,1077.0,26.9,Traditional,Full Irrigation,None,Excellent,4113.1,1330.1
77.1,1614.0,30.8,Traditional,Partial Irrigation,Severe,Average,4153.7,598.4
119.4,1481.0,31.3,BG 352,Partial Irrigation,None,Good,4194.3,1989.9
23.9,1566.0,32.4,Traditional,Partial Irrigation,Mild,Poor,4153.7,656.3
40.8,1180.0,27.2,BG 359,Rainfed,Mild,Poor,4234.9,921.7
71.9,2120.0,31.4,BG 358,Rainfed,Mild,Excellent,4356.7,1606.4
101.0,1730.0,25.1,Traditional,Rainfed,Mild,Poor,4316.1,873.2
28.9,2069.0,25.4,BG 359,Full Irrigation,Severe,Average,4275.5,827.6
59.5,1042.0,28.2,BG 358,Rainfed,None,Good,4397.3,1519.9
94.7,1710.0,24.6,Traditional,Full Irrigation,Mild,Poor,4316.1,1193.8
57.2,2004.0,33.5,AT 362,Partial Irrigation,Mild,Excellent,4113.1,1353.8
38.9,1330.0,33.0,BG 352,Full Irrigation,None,Good,4356.7,1916.9
39.5,1154.0,24.5,AT 362,Rainfed,Moderate,Average,4316.1,681.7
61.0,1245.0,32.4,AT 362,Rainfed,None,Excellent,4316.1,1517.9
67.9,1255.0,29.1,BG 358,Rainfed,None,Good,4316.1,1921.9
106.2,1481.0,31.0,BG 359,Partial Irrigation,Moderate,Good,4275.5,1780.1
84.2,1324.0,32.9,Traditional,Partial Irrigation,Severe,Poor,4113.1,571.1
89.0,1253.0,29.8,BG 352,Rainfed,None,Poor,4316.1,1407.8
118.3,1743.0,25.2,AT 362,Full Irrigation,Mild,Poor,4397.3,1704.6
61.2,969.0,24.0,Traditional,Full Irrigation,None,Good,4194.3,1252.0
60.3,1342.0,29.0,Traditional,Rainfed,None,Excellent,4316.1,1340.1
112.3,1797.0,33.5,BG 358,Rainfed,None,Excellent,4113.1,1951.3
44.6,1129.0,29.7,BG 358,Full Irrigation,Moderate,Good,4234.9,1461.7
93.0,1187.0,27.7,Traditional,Partial Irrigation,None,Poor,4234.9,923.2
95.5,1161.0,24.3,BG 359,Full Irrigation,None,Good,4437.9,2189.4
29.8,901.0,33.1,BG 359,Full Irrigation,Mild,Good,4153.7,1472.0
66.8,1516.0,27.3,BG 359,Full Irrigation,None,Good,4194.3,2506.0
40.1,951.0,31.0,BG 359,Rainfed,None,Good,4234.9,1191.4
38.5,1255.0,30.9,AT 362,Partial Irrigation,None,Good,4437.9,1468.4
66.4,2193.0,26.5,BG 359,Partial Irrigation,Mild,Good,4397.3,1724.4
48.9,2094.0,24.6,BG 358,Full Irrigation,Mild,Average,4113.1,1544.5
99.6,1180.0,27.9,BG 359,Rainfed,Mild,Poor,4194.3,1103.3
110.8,1303.0,27.2,AT 362,Rainfed,None,Poor,4397.3,1378.7
100.3,1503.0,31.0,Traditional,Partial Irrigation,None,Excellent,4113.1,1557.7
46.6,1998.0,32.2,BG 359,Full Irrigation,Mild,Average,4397.3,1554.6
47.4,1943.0,26.2,AT 362,Full Irrigation,None,Average,4194.3,1624.0
45.5,1064.0,29.3,BG 359,Partial Irrigation,None,Average,4437.9,1583.9
33.5,1062.0,24.4,AT 362,Partial Irrigation,None,Poor,4194.3,808.1
114.4,1442.0,26.1,BG 358,Rainfed,None,Excellent,4234.9,2320.8
60.2,2031.0,31.6,BG 359,Full Irrigation,None,Poor,4316.1,1559.1
42.5,2047.0,31.9,BG 352,Rainfed,Severe,Poor,4153.7,483.0
104.7,1040.0,31.8,BG 358,Rainfed,None,Average,4316.1,1376.1
59.9,1647.0,25.4,AT 362,Partial Irrigation,Mild,Average,4275.5,1258.9
23.5,1102.0,29.5,BG 352,Partial Irrigation,None,Poor,4397.3,1049.3
36.2,1792.0,28.2,BG 358,Partial Irrigation,Mild,Average,4437.9,1619.4
83.9,2091.0,33.9,AT 362,Full Irrigation,Mild,Excellent,4316.1,1900.6
98.3,1491.0,30.5,Traditional,Rainfed,Severe,Average,4234.9,589.3
41.1,1008.0,33.4,BG 359,Full Irrigation,None,Excellent,4234.9,1810.5
111.7,1653.0,25.5,BG 359,Rainfed,Mild,Average,4234.9,1654.4
105.1,1431.0,28.5,BG 359,Rainfed,None,Poor,4397.3,1577.5
104.8,1954.0,31.7,AT 362,Rainfed,Mild,Poor,4194.3,925.7
42.8,1342.0,27.7,BG 359,Full Irrigation,Moderate,Excellent,4153.7,1915.3
25.1,2037.0,30.3,BG 352,Full Irrigation,Mild,Average,4234.9,1198.6
106.7,1256.0,29.1,BG 359,Full Irrigation,Mild,Excellent,4113.1,2951.8
50.6,1105.0,33.9,BG 358,Rainfed,Moderate,Excellent,4113.1,1035.4
81.9,1298.0,25.7,AT 362,Full Irrigation,Moderate,Poor,4113.1,1191.7
96.0,945.0,33.4,BG 352,Rainfed,None,Average,4356.7,1211.2
32.8,1266.0,28.0,AT 362,Partial Irrigation,None,Good,4356.7,1666.4
98.1,1758.0,28.7,BG 352,Full Irrigation,Mild,Poor,4356.7,1916.7
113.9,1085.0,29.3,Traditional,Rainfed,Severe,Excellent,4275.5,690.5
92.8,1045.0,26.7,AT 362,Rainfed,None,Poor,4356.7,1140.5
64.1,1072.0,33.6,BG 352,Rainfed,None,Excellent,4153.7,1223.8
107.7,1001.0,33.1,Traditional,Full Irrigation,None,Excellent,4437.9,1646.3
72.7,2037.0,33.7,BG 359,Partial Irrigation,None,Good,4275.5,1725.9
94.5,2127.0,34.0,AT 362,Rainfed,None,Excellent,4437.9,1558.6
102.1,961.0,30.7,BG 352,Partial Irrigation,None,Excellent,4153.7,1727.1
94.9,1888.0,28.5,BG 352,Full Irrigation,None,Good,4275.5,2346.0
48.8,1858.0,32.5,Traditional,Rainfed,Mild,Good,4356.7,840.5
31.8,2196.0,24.2,BG 359,Partial Irrigation,None,Average,4275.5,1331.8
43.8,1352.0,32.3,AT 362,Rainfed,None,Average,4275.5,1160.5
70.3,1271.0,29.0,Traditional,Rainfed,None,Excellent,4153.7,1392.5
70.5,1489.0,30.7,BG 359,Partial Irrigation,None,Poor,4234.9,1452.5
78.3,2014.0,27.7,BG 358,Partial Irrigation,None,Average,4194.3,1639.5
59.5,1847.0,27.7,Traditional,Partial Irrigation,None,Good,4194.3,1342.6
98.7,1513.0,24.3,BG 352,Rainfed,None,Average,4356.7,1441.6
111.3,1218.0,28.2,BG 359,Partial Irrigation,Mild,Average,4316.1,2103.7
44.7,1845.0,28.1,Traditional,Partial Irrigation,None,Good,4316.1,1178.6
93.7,2011.0,26.2,BG 358,Partial Irrigation,None,Average,4234.9,1781.4
87.8,1420.0,26.5,BG 358,Partial Irrigation,None,Excellent,4437.9,2576.2
72.3,1769.0,29.8,BG 359,Rainfed,None,Poor,4113.1,1323.5
38.9,1420.0,27.2,BG 352,Rainfed,None,Average,4234.9,1379.2
99.5,1522.0,32.3,BG 352,Full Irrigation,None,Excellent,4153.7,2389.6
116.1,1582.0,25.1,BG 358,Partial Irrigation,None,Average,4234.9,2023.9
92.2,1908.0,29.8,Traditional,Partial Irrigation,None,Good,4437.9,1523.7
111.8,2171.0,25.6,BG 358,Full Irrigation,Moderate,Good,4234.9,1777.5
118.4,1478.0,29.3,AT 362,Rainfed,None,Average,4437.9,1825.4
55.2,1345.0,29.5,BG 359,Full Irrigation,None,Good,4275.5,2489.6
83.8,1386.0,30.4,AT 362,Partial Irrigation,None,Poor,4356.7,1264.1
67.4,1074.0,28.3,BG 358,Full Irrigation,None,Good,4275.5,2003.2
118.7,1286.0,29.1,Traditional,Partial Irrigation,Mild,Poor,4194.3,1229.4
29.4,1012.0,25.8,BG 358,Partial Irrigation,None,Good,4356.7,1335.3
61.2,1456.0,28.6,AT 362,Partial Irrigation,None,Poor,4437.9,1423.2
107.6,1118.0,27.7,Traditional,Rainfed,Severe,Excellent,4194.3,699.5
48.4,1350.0,30.7,BG 359,Partial Irrigation,None,Good,4397.3,1792.5
98.8,1932.0,28.3,AT 362,Full Irrigation,None,Poor,4194.3,1611.7
58.3,1220.0,31.8,BG 352,Partial Irrigation,Mild,Poor,4356.7,1075.8
118.0,1695.0,28.3,BG 359,Rainfed,Severe,Poor,4397.3,950.7
108.4,2072.0,26.4,BG 358,Full Irrigation,None,Excellent,4275.5,2947.3
50.1,1637.0,26.7,Traditional,Rainfed,Mild,Good,4356.7,1120.3
97.0,1152.0,24.5,Traditional,Rainfed,None,Average,4194.3,937.6
53.7,1348.0,29.4,AT 362,Rainfed,Mild,Average,4113.1,1145.4
80.6,1667.0,32.3,Traditional,Rainfed,None,Poor,4113.1,818.2
85.8,1559.0,31.7,Traditional,Rainfed,Mild,Poor,4275.5,824.2
103.0,1093.0,28.4,AT 362,Rainfed,None,Excellent,4437.9,1720.7
22.4,1481.0,26.0,BG 359,Full Irrigation,None,Good,4153.7,1691.4
42.0,1606.0,32.6,BG 358,Partial Irrigation,None,Average,4275.5,1509.8
91.2,1248.0,24.6,Traditional,Rainfed,Mild,Poor,4356.7,860.6
76.4,1696.0,28.0,BG 352,Partial Irrigation,Mild,Average,4153.7,1475.6
69.6,991.0,32.6,BG 352,Full Irrigation,Moderate,Average,4356.7,1189.6
25.5,1338.0,27.9,Traditional,Full Irrigation,Severe,Poor,4194.3,577.3
54.8,1946.0,25.2,BG 352,Rainfed,None,Good,4397.3,1253.6
106.5,1237.0,26.7,BG 352,Rainfed,Mild,Good,4316.1,1739.0
23.1,1687.0,30.0,BG 359,Full Irrigation,None,Excellent,4275.5,2099.7
59.6,1433.0,25.5,BG 359,Partial Irrigation,Moderate,Average,4153.7,1314.8
114.5,1311.0,30.5,BG 352,Full Irrigation,Mild,Average,4275.5,2038.1
25.1,2091.0,28.4,BG 358,Rainfed,None,Excellent,4397.3,1375.8
95.0,1346.0,27.3,BG 358,Rainfed,None,Average,4113.1,1755.0
45.8,1208.0,26.4,BG 358,Partial Irrigation,Mild,Good,4356.7,1814.3
106.7,2082.0,32.2,BG 352,Rainfed,Moderate,Good,4275.5,1130.0
94.6,1870.0,28.0,AT 362,Full Irrigation,Moderate,Excellent,4356.7,1949.4
108.6,1786.0,31.4,BG 359,Full Irrigation,None,Average,4316.1,2469.0
41.6,964.0,28.4,Traditional,Rainfed,None,Good,4234.9,895.6
73.1,1071.0,24.9,BG 352,Partial Irrigation,Severe,Poor,4194.3,534.8
97.9,1730.0,28.4,AT 362,Partial Irrigation,Mild,Excellent,4316.1,1970.8
44.6,1172.0,29.1,Traditional,Partial Irrigation,None,Poor,4153.7,764.0
43.1,1193.0,28.6,BG 359,Partial Irrigation,Mild,Good,4316.1,1466.6
22.7,1913.0,32.2,AT 362,Partial Irrigation,Mild,Poor,4113.1,757.3
115.9,1272.0,33.1,BG 359,Full Irrigation,Mild,Average,4316.1,2188.1
91.0,993.0,31.9,BG 359,Rainfed,Mild,Poor,4316.1,1024.4
83.6,947.0,29.8,Traditional,Rainfed,Moderate,Good,4113.1,844.4
94.4,1476.0,29.4,BG 359,Full Irrigation,Moderate,Average,4356.7,2059.9
73.2,1702.0,30.4,BG 359,Full Irrigation,None,Good,4234.9,2410.2
67.6,2030.0,26.9,Traditional,Partial Irrigation,None,Average,4397.3,1146.7
65.0,1044.0,32.1,BG 359,Full Irrigation,Mild,Poor,4113.1,1157.0
84.0,1156.0,32.6,BG 352,Rainfed,Mild,Good,4153.7,1128.6
40.2,1589.0,26.7,AT 362,Full Irrigation,None,Good,4275.5,1977.4
108.8,1373.0,33.0,AT 362,Full Irrigation,Moderate,Good,4153.7,1614.9
101.2,1527.0,32.5,BG 358,Rainfed,None,Average,4194.3,1546.5
55.0,2101.0,28.2,AT 362,Rainfed,None,Good,4316.1,1423.5
77.9,1608.0,33.1,BG 352,Partial Irrigation,Moderate,Good,4153.7,1409.6
34.1,1440.0,25.2,BG 358,Full Irrigation,Severe,Poor,4356.7,829.3
117.2,2186.0,24.3,Traditional,Rainfed,None,Poor,4113.1,844.2
110.3,985.0,27.5,AT 362,Partial Irrigation,None,Average,4153.7,1614.6
112.2,2112.0,29.7,AT 362,Full Irrigation,None,Poor,4316.1,1686.5
53.2,1552.0,27.5,AT 362,Rainfed,None,Good,4397.3,1512.7
36.9,1555.0,33.4,BG 352,Partial Irrigation,None,Poor,4153.7,1140.2
41.2,2099.0,26.5,Traditional,Rainfed,None,Poor,4194.3,730.1
29.0,1560.0,26.8,BG 358,Rainfed,None,Poor,4437.9,1166.2
32.0,1470.0,30.3,AT 362,Partial Irrigation,Mild,Average,4437.9,1208.7
27.1,1254.0,24.0,Traditional,Rainfed,Mild,Poor,4316.1,633.5
119.0,1756.0,31.3,BG 358,Rainfed,Mild,Good,4275.5,1732.3
27.4,1641.0,27.8,AT 362,Full Irrigation,None,Poor,4234.9,1351.5
33.3,1179.0,33.8,BG 352,Rainfed,None,Excellent,4316.1,1163.6
102.7,1822.0,30.9,AT 362,Full Irrigation,None,Good,4316.1,2026.8
78.0,1737.0,24.5,BG 359,Rainfed,Severe,Poor,4194.3,725.9
97.4,1417.0,24.9,BG 352,Partial Irrigation,None,Average,4113.1,1622.0
83.1,906.0,24.9,AT 362,Full Irrigation,Mild,Poor,4153.7,1119.5
108.2,1481.0,33.5,Traditional,Partial Irrigation,None,Excellent,4437.9,1812.3
83.8,908.0,30.8,BG 352,Partial Irrigation,Moderate,Good,4234.9,1198.9
72.2,997.0,28.3,Traditional,Full Irrigation,None,Excellent,4275.5,1629.6
91.3,1460.0,26.0,Traditional,Rainfed,None,Average,4275.5,1158.6
64.7,1006.0,32.7,BG 359,Full Irrigation,Moderate,Poor,4397.3,1060.2
54.6,1258.0,26.0,Traditional,Full Irrigation,None,Poor,4113.1,1163.0
66.8,1752.0,31.1,BG 358,Full Irrigation,Mild,Average,4113.1,1758.2
37.0,1301.0,31.6,AT 362,Partial Irrigation,None,Excellent,4194.3,1512.9
99.7,2197.0,26.9,AT 362,Partial Irrigation,Severe,Average,4275.5,958.7
46.1,2091.0,29.0,BG 359,Partial Irrigation,Mild,Excellent,4356.7,1673.1
35.4,1661.0,26.2,Traditional,Partial Irrigation,None,Average,4275.5,1083.7
44.6,2157.0,27.8,Traditional,Full Irrigation,Moderate,Poor,4234.9,826.1
104.2,2028.0,33.7,AT 362,Full Irrigation,Mild,Average,4437.9,1716.5
53.0,1315.0,30.9,BG 359,Rainfed,Mild,Poor,4153.7,917.9
88.6,1874.0,32.5,Traditional,Rainfed,None,Good,4316.1,1000.5
105.6,1078.0,29.4,BG 359,Full Irrigation,None,Poor,4275.5,1805.3
27.8,1790.0,26.4,AT 362,Partial Irrigation,Mild,Good,4275.5,1531.5
96.5,1538.0,31.1,BG 352,Partial Irrigation,None,Average,4397.3,1880.6
50.8,922.0,29.0,BG 358,Rainfed,Moderate,Average,4194.3,922.1
41.7,1256.0,25.8,Traditional,Rainfed,None,Good,4437.9,1034.0
88.9,2142.0,28.1,BG 359,Partial Irrigation,Mild,Good,4194.3,1808.5
111.0,1311.0,30.3,BG 359,Full Irrigation,None,Excellent,4275.5,3034.1
49.5,1136.0,31.4,Traditional,Full Irrigation,Mild,Average,4275.5,1012.5
76.9,1144.0,26.4,BG 358,Full Irrigation,None,Excellent,4397.3,2566.7
49.0,1523.0,32.8,BG 358,Rainfed,None,Excellent,4234.9,1612.9
75.4,1995.0,27.8,BG 352,Rainfed,None,Excellent,4194.3,1600.8
82.2,1885.0,26.7,BG 358,Partial Irrigation,Mild,Excellent,4113.1,1919.9
81.0,1468.0,26.0,BG 359,Partial Irrigation,None,Excellent,4234.9,2292.1
82.4,1171.0,32.0,AT 362,Rainfed,Mild,Average,4397.3,997.0
33.5,960.0,27.5,BG 358,Partial Irrigation,None,Good,4113.1,1332.2
89.4,1501.0,28.8,BG 359,Full Irrigation,Mild,Excellent,4437.9,2950.5
87.5,1959.0,26.2,BG 358,Rainfed,Mild,Average,4275.5,1398.5
88.3,1849.0,30.9,Traditional,Full Irrigation,None,Excellent,4153.7,1468.0
27.4,1431.0,31.8,BG 359,Partial Irrigation,None,Good,4194.3,1579.0
64.7,1673.0,27.4,BG 352,Partial Irrigation,None,Average,4275.5,1756.6
60.9,1467.0,33.5,AT 362,Partial Irrigation,Mild,Excellent,4194.3,1694.8
28.7,1653.0,24.3,BG 358,Full Irrigation,Severe,Poor,4113.1,707.6
42.2,1573.0,25.3,Traditional,Partial Irrigation,None,Good,4316.1,1210.5
64.1,1785.0,29.9,BG 358,Rainfed,Mild,Excellent,4356.7,1936.6
94.3,1560.0,31.0,Traditional,Rainfed,Mild,Poor,4153.7,838.8
43.7,2123.0,26.5,AT 362,Full Irrigation,Mild,Average,4194.3,1373.9
103.0,1456.0,29.5,BG 352,Rainfed,None,Good,4194.3,1835.2
74.6,921.0,27.2,AT 362,Full Irrigation,Severe,Poor,4316.1,782.8
96.0,1207.0,29.5,AT 362,Partial Irrigation,None,Excellent,4356.7,2344.0
67.3,1551.0,30.6,BG 359,Rainfed,Moderate,Good,4356.7,1275.1
69.9,1603.0,33.7,BG 352,Rainfed,None,Average,4437.9,1447.9
82.0,1618.0,28.6,BG 359,Full Irrigation,Moderate,Average,4356.7,1919.7
112.8,1829.0,30.5,AT 362,Rainfed,Severe,Poor,4194.3,543.2
69.2,1257.0,29.8,BG 352,Rainfed,Moderate,Poor,4113.1,947.8
72.9,1764.0,27.2,BG 358,Rainfed,None,Good,4316.1,1940.2
80.2,1815.0,26.5,AT 362,Partial Irrigation,Moderate,Excellent,4437.9,1553.6
93.8,1435.0,33.9,BG 359,Full Irrigation,None,Average,4437.9,2357.5
27.2,1423.0,26.1,Traditional,Rainfed,Mild,Poor,4194.3,760.2
71.6,1133.0,31.9,BG 358,Full Irrigation,None,Good,4194.3,1744.3
68.2,1438.0,25.5,AT 362,Full Irrigation,Mild,Good,4113.1,1735.6
