temperature,humidity,rainfall_7d_mm,growth_stage,likely_pest,risk_score,risk_level
27.6,89.9,5.3,Seedling,Rice Blast Risk,0.765,High
33.7,79.6,92.4,Ripening,Rice Bug,0.973,High
19.7,85.7,38.8,Flowering,Rice Bug,0.74,High
27.7,57.3,33.9,Ripening,Rice Bug,0.792,High
27.8,67.0,31.1,Flowering,Rice Bug,0.976,High
36.8,32.3,34.0,Flowering,Rice Bug,0.736,High
29.4,56.8,40.6,Seedling,Stem Borer,0.429,Medium
27.5,63.2,72.6,Tillering,Stem Borer,0.69,High
23.3,47.9,70.0,Vegetative,Rice Blast Risk,0.606,Medium
24.6,32.2,30.7,Ripening,Rice Blast Risk,0.504,Medium
28.4,78.3,24.8,Seedling,Stem Borer,0.643,Medium
26.8,60.5,99.2,Seedling,Rice Blast Risk,0.565,Medium
18.4,59.1,11.1,Tillering,Leaf Folder,0.37,Low
34.5,47.5,61.5,Ripening,Rice Bug,0.707,High
35.9,67.6,62.5,Ripening,Rice Bug,1.0,High
20.8,60.7,68.9,Tillering,Rice Blast Risk,0.646,Medium
29.1,63.2,106.3,Tillering,Stem Borer,0.669,Medium
20.2,70.7,74.9,Vegetative,Stem Borer,0.774,High
31.4,30.4,116.8,Ripening,Rice Bug,0.631,Medium
23.6,93.5,104.6,Seedling,Rice Blast Risk,1.0,High
31.2,35.0,25.8,Seedling,Stem Borer,0.357,Low
32.5,61.6,28.9,Tillering,Stem Borer,0.449,Medium
33.4,44.5,41.4,Vegetative,Stem Borer,0.352,Low
20.2,66.7,47.0,Tillering,Rice Blast Risk,0.547,Medium
36.3,49.6,66.4,Ripening,Rice Bug,0.709,High
22.6,90.2,27.9,Vegetative,Rice Blast Risk,0.789,High
18.7,57.7,26.7,Ripening,Rice Bug,0.591,Medium
29.1,74.7,45.8,Vegetative,Stem Borer,0.995,High
25.4,47.4,80.6,Vegetative,Leaf Folder,0.756,High
34.6,31.4,82.6,Seedling,Rice Bug,0.231,Low
34.2,58.3,117.1,Flowering,Rice Bug,0.825,High
24.3,67.6,24.3,Ripening,Rice Bug,0.669,Medium
37.1,62.2,47.1,Ripening,Rice Bug,0.736,High
23.8,97.3,115.8,Seedling,Rice Blast Risk,0.973,High
28.3,79.5,82.8,Flowering,Rice Bug,1.0,High
23.1,99.7,71.1,Seedling,Rice Blast Risk,1.0,High
36.7,50.7,64.8,Flowering,Rice Bug,0.646,Medium
21.3,85.2,9.1,Flowering,Rice Blast Risk,0.734,High
18.9,68.9,107.2,Seedling,Rice Bug,0.199,Low
26.7,72.8,75.1,Seedling,Stem Borer,0.747,High
37.8,99.0,68.6,Seedling,Rice Blast Risk,0.69,High
35.8,75.8,64.7,Flowering,Rice Bug,0.985,High
33.0,92.9,47.0,Flowering,Rice Bug,0.973,High
35.8,80.8,30.6,Seedling,Brown Planthopper,0.536,Medium
35.9,38.9,90.6,Tillering,Stem Borer,0.344,Low
28.4,79.0,61.1,Flowering,Rice Bug,1.0,High
24.3,63.9,4.1,Vegetative,Leaf Folder,0.669,Medium
33.4,94.3,47.9,Flowering,Rice Bug,0.986,High
31.2,86.5,111.4,Vegetative,Stem Borer,1.0,High
25.5,37.3,44.9,Vegetative,Leaf Folder,0.655,Medium
19.9,39.4,49.6,Vegetative,Stem Borer,0.425,Medium
32.9,34.9,74.9,Vegetative,Stem Borer,0.333,Low
23.2,64.5,96.2,Tillering,Rice Blast Risk,0.581,Medium
36.7,35.7,80.2,Vegetative,Stem Borer,0.451,Medium
22.8,80.7,102.0,Vegetative,Stem Borer,0.716,High
20.5,68.7,13.7,Flowering,Rice Bug,0.78,High
34.6,88.5,111.0,Vegetative,Stem Borer,0.695,High
21.1,49.6,108.5,Flowering,Rice Blast Risk,0.595,Medium
21.6,66.3,62.3,Seedling,Rice Blast Risk,0.553,Medium
30.0,38.2,75.0,Seedling,Stem Borer,0.343,Low
35.5,91.9,25.5,Ripening,Rice Bug,1.0,High
21.9,42.3,53.8,Tillering,Rice Blast Risk,0.468,Medium
24.2,37.2,24.3,Flowering,Rice Bug,0.514,Medium
33.5,44.4,2.6,Flowering,Rice Bug,0.731,High
37.4,86.4,117.7,Seedling,Rice Blast Risk,0.628,Medium
28.0,37.4,31.1,Ripening,Rice Bug,0.759,High
20.9,73.0,71.2,Tillering,Stem Borer,0.665,Medium
18.3,82.2,36.0,Ripening,Rice Bug,0.776,High
22.6,82.6,44.5,Tillering,Stem Borer,0.703,High
20.6,43.3,47.7,Tillering,Rice Blast Risk,0.519,Medium
31.6,34.3,40.2,Flowering,Rice Bug,0.817,High
20.4,61.4,76.5,Seedling,Rice Blast Risk,0.56,Medium
28.1,44.2,115.3,Flowering,Rice Bug,0.782,High
31.9,78.9,51.4,Ripening,Rice Bug,1.0,High
29.6,55.0,116.8,Flowering,Rice Bug,0.82,High
22.0,61.5,80.1,Seedling,Rice Blast Risk,0.579,Medium
34.1,37.9,72.9,Flowering,Rice Bug,0.735,High
32.3,69.7,28.5,Seedling,Rice Bug,0.429,Medium
32.8,43.0,7.6,Seedling,Rice Bug,0.26,Low
20.6,77.5,102.2,Vegetative,Stem Borer,0.755,High
20.5,35.0,68.9,Vegetative,Rice Blast Risk,0.568,Medium
36.6,98.3,49.7,Seedling,Rice Blast Risk,0.478,Medium
26.0,77.9,97.4,Seedling,Leaf Folder,0.694,High
24.0,42.7,37.3,Flowering,Rice Blast Risk,0.597,Medium
27.8,31.0,94.0,Tillering,Stem Borer,0.685,High
31.3,53.4,39.4,Seedling,Stem Borer,0.449,Medium
37.1,40.7,110.5,Tillering,Stem Borer,0.431,Medium
23.7,45.3,32.2,Flowering,Rice Blast Risk,0.516,Medium
36.5,91.1,16.5,Flowering,Rice Bug,1.0,High
18.5,72.2,83.8,Vegetative,Stem Borer,0.637,Medium
29.1,42.4,19.5,Seedling,Brown Planthopper,0.397,Low
30.7,69.0,113.9,Ripening,Rice Bug,0.992,High
20.1,47.9,78.7,Flowering,Rice Blast Risk,0.509,Medium
20.8,98.3,27.7,Ripening,Rice Blast Risk,0.815,High
26.4,32.3,25.1,Vegetative,Stem Borer,0.766,High
37.3,81.3,110.9,Seedling,Rice Bug,0.562,Medium
29.9,84.1,72.9,Vegetative,Leaf Folder,1.0,High
36.7,34.7,107.2,Vegetative,Stem Borer,0.315,Low
34.1,42.0,13.2,Flowering,Rice Bug,0.683,High
27.3,56.9,111.0,Flowering,Rice Bug,0.758,High
33.7,90.8,62.4,Seedling,Rice Blast Risk,0.648,Medium
18.4,67.6,80.2,Tillering,Stem Borer,0.375,Low
20.2,75.9,44.7,Vegetative,Stem Borer,0.795,High
34.6,84.8,7.1,Flowering,Rice Bug,1.0,High
33.9,88.0,115.0,Vegetative,Stem Borer,0.727,High
22.7,63.3,119.4,Tillering,Rice Blast Risk,0.599,Medium
28.6,65.6,43.7,Flowering,Rice Bug,1.0,High
30.1,80.3,113.3,Vegetative,Stem Borer,1.0,High
35.4,48.4,20.1,Seedling,Rice Bug,0.203,Low
30.1,89.8,18.6,Flowering,Rice Bug,0.97,High
26.3,31.5,8.8,Ripening,Rice Bug,0.453,Medium
25.5,43.7,47.0,Tillering,Leaf Folder,0.728,High
26.5,86.0,6.3,Ripening,Rice Blast Risk,0.84,High
31.0,53.8,47.4,Seedling,Stem Borer,0.373,Low
35.3,40.5,16.6,Ripening,Rice Bug,0.707,High
27.1,43.1,87.7,Ripening,Rice Bug,0.819,High
23.0,67.2,100.0,Vegetative,Rice Blast Risk,0.568,Medium
22.7,89.2,82.5,Seedling,Rice Blast Risk,1.0,High
32.9,34.9,24.1,Flowering,Rice Bug,0.747,High
34.3,32.1,92.0,Ripening,Rice Bug,0.776,High
20.1,62.6,29.9,Seedling,Rice Blast Risk,0.365,Low
19.3,96.9,91.1,Flowering,Rice Bug,0.719,High
29.9,49.5,68.1,Ripening,Rice Bug,0.743,High
20.9,97.1,44.0,Seedling,Rice Blast Risk,0.941,High
34.5,92.1,10.0,Tillering,Brown Planthopper,0.725,High
24.2,49.8,99.3,Seedling,Rice Blast Risk,0.588,Medium
20.9,87.2,112.8,Seedling,Rice Blast Risk,1.0,High
36.4,78.0,79.9,Tillering,Stem Borer,0.733,High
21.3,65.8,115.7,Vegetative,Rice Blast Risk,0.544,Medium
23.7,59.6,112.1,Seedling,Rice Blast Risk,0.628,Medium
21.1,87.1,23.4,Ripening,Rice Blast Risk,0.845,High
20.3,85.5,87.7,Vegetative,Rice Blast Risk,1.0,High
18.4,83.0,41.9,Ripening,Rice Bug,0.823,High
19.1,99.9,58.5,Seedling,Rice Blast Risk,0.644,Medium
21.5,63.5,18.8,Tillering,Leaf Folder,0.369,Low
19.1,86.5,117.0,Flowering,Rice Bug,0.789,High
29.8,90.4,87.1,Tillering,Leaf Folder,0.943,High
31.6,44.8,32.0,Tillering,Stem Borer,0.644,Medium
25.9,32.9,44.6,Flowering,Rice Blast Risk,0.485,Medium
24.4,58.3,50.7,Seedling,Rice Blast Risk,0.545,Medium
28.1,90.0,89.7,Ripening,Rice Bug,0.983,High
35.5,50.2,111.1,Flowering,Rice Bug,0.678,Medium
35.0,79.0,38.6,Flowering,Rice Bug,1.0,High
18.9,30.5,56.7,Tillering,Stem Borer,0.395,Low
21.6,54.9,71.2,Vegetative,Rice Blast Risk,0.609,Medium
22.7,73.1,47.2,Tillering,Stem Borer,0.801,High
23.0,39.1,60.5,Flowering,Rice Blast Risk,0.573,Medium
29.4,92.8,12.7,Ripening,Rice Bug,0.965,High
26.3,40.9,20.1,Ripening,Rice Bug,0.532,Medium
19.0,93.7,48.1,Seedling,Rice Blast Risk,0.65,Medium
25.5,45.1,109.8,Seedling,Rice Blast Risk,0.538,Medium
28.5,99.6,41.9,Ripening,Rice Bug,0.957,High
20.0,72.3,30.0,Vegetative,Stem Borer,0.677,Medium
34.7,35.9,89.1,Tillering,Stem Borer,0.391,Low
19.0,34.6,113.9,Seedling,Rice Blast Risk,0.24,Low
36.5,35.2,55.1,Seedling,Rice Bug,0.276,Low
20.0,71.3,1.0,Tillering,Stem Borer,0.691,High
34.9,86.7,82.6,Flowering,Rice Bug,1.0,High
36.1,58.2,49.8,Flowering,Rice Bug,0.771,High
37.6,61.1,80.8,Ripening,Rice Bug,0.735,High
34.0,71.3,33.3,Seedling,Rice Bug,0.448,Medium
33.6,67.3,0.3,Vegetative,Rice Bug,0.472,Medium
30.8,78.2,41.3,Tillering,Stem Borer,0.965,High
33.6,63.0,84.6,Tillering,Stem Borer,0.272,Low
20.7,80.0,47.2,Seedling,Rice Blast Risk,0.5,Medium
28.7,99.8,26.3,Tillering,Leaf Folder,1.0,High
28.3,54.5,55.7,Ripening,Rice Bug,0.768,High
35.2,30.9,90.3,Seedling,Rice Bug,0.231,Low
27.3,38.8,14.3,Ripening,Rice Bug,0.77,High
25.7,68.7,83.0,Tillering,Leaf Folder,0.552,Medium
30.8,54.1,80.1,Tillering,Stem Borer,0.714,High
23.3,95.8,44.5,Flowering,Rice Blast Risk,1.0,High
20.8,73.9,116.4,Flowering,Rice Bug,0.744,High
27.6,66.4,107.4,Flowering,Rice Bug,0.911,High
26.3,85.9,37.9,Seedling,Rice Blast Risk,0.979,High
22.7,48.1,3.7,Vegetative,Leaf Folder,0.414,Low
25.4,87.4,37.0,Ripening,Rice Blast Risk,1.0,High
25.3,30.2,24.6,Seedling,Brown Planthopper,0.329,Low
24.5,73.4,65.7,Flowering,Rice Bug,0.868,High
25.6,95.4,110.2,Tillering,Leaf Folder,0.937,High
31.7,85.2,104.4,Seedling,Stem Borer,0.688,High
23.9,89.8,36.7,Seedling,Rice Blast Risk,0.948,High
37.0,57.8,51.4,Ripening,Rice Bug,0.698,High
36.3,87.7,4.4,Seedling,Brown Planthopper,0.477,Medium
27.6,68.6,65.3,Seedling,Rice Blast Risk,0.582,Medium
24.6,73.3,7.6,Seedling,Rice Blast Risk,0.415,Low
28.7,34.1,112.6,Flowering,Rice Bug,0.731,High
35.0,44.1,104.0,Ripening,Rice Bug,0.699,High
31.1,68.6,25.7,Seedling,Rice Bug,0.524,Medium
34.1,34.1,83.9,Flowering,Rice Bug,0.775,High
28.7,81.9,68.2,Flowering,Rice Bug,1.0,High
30.7,88.8,96.2,Vegetative,Stem Borer,1.0,High
23.8,94.4,57.1,Seedling,Rice Blast Risk,0.994,High
32.7,37.1,23.0,Tillering,Stem Borer,0.405,Low
22.0,95.8,76.8,Seedling,Rice Blast Risk,0.991,High
31.9,34.7,9.6,Seedling,Stem Borer,0.354,Low
35.2,63.2,70.2,Tillering,Stem Borer,0.511,Medium
20.6,88.8,25.5,Ripening,Rice Blast Risk,0.809,High
30.3,34.9,82.2,Ripening,Rice Bug,0.75,High
19.9,31.3,99.4,Flowering,Rice Bug,0.513,Medium
32.5,31.7,13.1,Vegetative,Leaf Folder,0.317,Low
19.7,65.8,48.0,Vegetative,Stem Borer,0.438,Medium
36.7,86.8,88.0,Flowering,Rice Bug,1.0,High
20.7,38.9,19.6,Seedling,Rice Blast Risk,0.329,Low
37.2,38.7,68.0,Tillering,Stem Borer,0.445,Medium
34.0,69.8,80.6,Flowering,Rice Bug,1.0,High
29.9,46.4,42.6,Ripening,Rice Bug,0.701,High
33.7,81.1,99.8,Seedling,Rice Bug,0.518,Medium
33.9,96.5,61.3,Vegetative,Stem Borer,0.712,High
36.9,83.6,75.2,Vegetative,Stem Borer,0.748,High
23.1,91.4,16.9,Tillering,Rice Blast Risk,0.842,High
29.8,66.4,2.8,Seedling,Rice Bug,0.495,Medium
19.9,88.3,6.1,Ripening,Rice Bug,0.726,High
30.3,42.8,108.5,Ripening,Rice Bug,0.75,High
21.4,34.8,105.9,Vegetative,Rice Blast Risk,0.568,Medium
29.3,75.9,96.9,Tillering,Leaf Folder,1.0,High
29.4,33.6,24.0,Tillering,Stem Borer,0.715,High
27.3,92.5,63.1,Seedling,Rice Blast Risk,0.995,High
28.5,78.4,95.5,Ripening,Rice Bug,1.0,High
33.3,96.7,81.0,Flowering,Rice Bug,0.966,High
34.0,52.0,13.9,Vegetative,Leaf Folder,0.474,Medium
27.8,64.0,107.5,Tillering,Stem Borer,0.738,High
30.0,81.9,19.3,Vegetative,Leaf Folder,0.944,High
36.6,47.0,20.6,Vegetative,Stem Borer,0.409,Low
20.4,67.9,108.1,Vegetative,Rice Blast Risk,0.589,Medium
20.3,76.2,58.2,Seedling,Rice Blast Risk,0.533,Medium
19.8,98.5,44.7,Ripening,Rice Bug,0.675,Medium
31.2,82.1,66.4,Flowering,Rice Bug,0.948,High
26.4,38.3,117.8,Ripening,Rice Blast Risk,0.577,Medium
33.5,63.3,14.4,Seedling,Rice Bug,0.162,Low
31.4,71.2,90.8,Flowering,Rice Bug,0.928,High
24.7,40.3,40.1,Tillering,Leaf Folder,0.677,Medium
36.0,60.2,14.0,Flowering,Rice Bug,0.739,High
33.3,49.9,50.6,Ripening,Rice Bug,0.715,High
23.4,38.3,65.9,Vegetative,Rice Blast Risk,0.525,Medium
25.3,65.8,24.7,Seedling,Brown Planthopper,0.326,Low
24.3,41.6,48.6,Seedling,Rice Blast Risk,0.574,Medium
21.2,71.3,76.3,Tillering,Stem Borer,0.66,Medium
21.0,41.9,69.2,Seedling,Rice Blast Risk,0.523,Medium
36.7,80.7,86.8,Seedling,Rice Bug,0.517,Medium
26.8,43.7,100.4,Seedling,Rice Blast Risk,0.537,Medium
25.7,92.7,49.1,Vegetative,Leaf Folder,0.965,High
32.6,31.8,50.8,Seedling,Rice Bug,0.151,Low
29.1,66.5,59.6,Tillering,Stem Borer,0.718,High
36.7,52.4,68.0,Flowering,Rice Bug,0.754,High
33.6,45.8,13.0,Vegetative,Leaf Folder,0.324,Low
27.6,63.0,37.5,Seedling,Rice Blast Risk,0.498,Medium
25.5,88.9,20.6,Tillering,Leaf Folder,1.0,High
37.7,94.1,46.3,Seedling,Rice Blast Risk,0.674,Medium
32.4,51.2,116.8,Flowering,Rice Bug,0.755,High
37.0,40.8,69.9,Vegetative,Stem Borer,0.482,Medium
20.4,80.4,51.5,Tillering,Stem Borer,0.735,High
35.0,70.7,67.9,Vegetative,Stem Borer,0.695,High
30.7,44.1,80.3,Vegetative,Stem Borer,0.737,High
20.4,83.2,52.2,Seedling,Rice Blast Risk,0.552,Medium
29.8,66.3,53.7,Tillering,Stem Borer,0.702,High
31.7,75.7,84.2,Seedling,Stem Borer,0.765,High
18.2,55.2,7.3,Flowering,Rice Bug,0.455,Medium
27.1,60.7,64.8,Vegetative,Stem Borer,0.701,High
34.5,42.6,65.7,Tillering,Stem Borer,0.459,Medium
23.9,83.0,90.8,Tillering,Stem Borer,0.715,High
27.2,41.0,117.9,Flowering,Rice Bug,0.732,High
26.8,84.5,95.5,Flowering,Brown Planthopper,0.815,High
24.0,85.9,60.5,Tillering,Leaf Folder,0.886,High
36.4,82.3,20.3,Ripening,Rice Bug,1.0,High
33.6,31.4,70.6,Vegetative,Stem Borer,0.415,Low
20.2,49.1,100.1,Flowering,Rice Blast Risk,0.521,Medium
37.9,62.8,111.9,Vegetative,Stem Borer,0.417,Low
35.6,71.7,99.0,Flowering,Rice Bug,0.953,High
23.7,94.3,22.7,Tillering,Rice Blast Risk,0.783,High
34.7,56.3,85.5,Ripening,Rice Bug,0.703,High
20.1,91.3,105.6,Vegetative,Rice Blast Risk,0.929,High
38.0,41.4,81.7,Tillering,Stem Borer,0.295,Low
31.3,56.0,82.3,Seedling,Stem Borer,0.32,Low
31.0,33.7,60.0,Flowering,Rice Bug,0.801,High
19.8,82.0,76.4,Seedling,Brown Planthopper,0.351,Low
35.9,40.5,35.3,Tillering,Stem Borer,0.427,Medium
18.6,48.0,10.7,Seedling,Brown Planthopper,0.148,Low
22.8,84.3,99.3,Vegetative,Stem Borer,0.701,High
20.9,67.4,113.2,Tillering,Rice Blast Risk,0.535,Medium
33.5,31.0,102.8,Vegetative,Stem Borer,0.407,Low
22.0,30.2,40.1,Vegetative,Rice Blast Risk,0.529,Medium
36.2,65.7,11.2,Seedling,Rice Bug,0.56,Medium
31.1,51.3,33.6,Flowering,Rice Bug,0.844,High
18.7,42.6,101.1,Flowering,Rice Bug,0.572,Medium
18.1,73.0,78.7,Tillering,Stem Borer,0.592,Medium
19.0,46.0,116.0,Seedling,Rice Blast Risk,0.178,Low
30.1,71.5,41.1,Seedling,Stem Borer,0.7,High
34.0,56.5,66.2,Flowering,Rice Bug,0.773,High
22.8,43.1,94.8,Ripening,Rice Blast Risk,0.464,Medium
35.0,39.7,28.1,Ripening,Rice Bug,0.663,Medium
19.1,46.6,115.7,Tillering,Stem Borer,0.465,Medium
34.0,32.1,71.1,Tillering,Stem Borer,0.372,Low
36.6,51.6,0.9,Seedling,Rice Bug,0.176,Low
33.4,93.1,3.0,Seedling,Brown Planthopper,0.445,Medium
32.0,88.2,105.9,Flowering,Rice Bug,1.0,High
34.8,56.0,77.4,Tillering,Stem Borer,0.359,Low
18.8,70.3,91.6,Tillering,Stem Borer,0.712,High
22.0,69.7,94.1,Vegetative,Rice Blast Risk,0.501,Medium
